Component,File,Element,Label,Event,Handler,Inferred Logic
time_challenge_screen.dart,vocab\screens\time_challenge_screen.dart,TextButton,"Play Again","onPressed","Navigator.pop(ctx);","-"
time_challenge_screen.dart,vocab\screens\time_challenge_screen.dart,IconButton,"Icon: LucideIcons.chevronLeft, color: Colors.white","onPressed","context.pop(),","-"
time_challenge_screen.dart,vocab\screens\time_challenge_screen.dart,ElevatedButton,"Unknown","onPressed","_handleAnswer(false),","-"
time_challenge_screen.dart,vocab\screens\time_challenge_screen.dart,ElevatedButton,"Icon: LucideIcons.x, size: 32","onPressed","_handleAnswer(true),","-"
vocab_dashboard_screen.dart,vocab\screens\vocab_dashboard_screen.dart,IconButton,"Icon: LucideIcons.plus","onPressed","context.push('/words/add'),","Navigation"
vocab_dashboard_screen.dart,vocab\screens\vocab_dashboard_screen.dart,GestureDetector,"Unknown","onTap","context.push('/games/flashcards'),","Navigation"
vocab_dashboard_screen.dart,vocab\screens\vocab_dashboard_screen.dart,GestureDetector,"Unknown","onTap","context.push('/games/builder'),","Navigation"
vocab_dashboard_screen.dart,vocab\screens\vocab_dashboard_screen.dart,GestureDetector,"Unknown","onTap","context.push('/games/memory'),","Navigation"
vocab_dashboard_screen.dart,vocab\screens\vocab_dashboard_screen.dart,GestureDetector,"Unknown","onTap","context.push('/games/challenge'),","Navigation"
vocab_dashboard_screen.dart,vocab\screens\vocab_dashboard_screen.dart,GestureDetector,"Unknown","onTap","onTap","-"
word_builder_screen.dart,vocab\screens\word_builder_screen.dart,GestureDetector,"Unknown","onPressed","_checkAnswer","-"
